"Plot Title: HOBO20"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 1058720, SEN S/N: 1058720)","Intensity, Lux (LGR S/N: 1058720, SEN S/N: 1058720)","Host Connected (LGR S/N: 1058720)","Coupler Attached (LGR S/N: 1058720)","Coupler Detached (LGR S/N: 1058720)","End Of File (LGR S/N: 1058720)"
1,07/11/23 11:50:00 AM,28.258,20666.8,,,,
2,07/11/23 11:55:00 AM,29.953,5511.1,,,,
3,07/11/23 12:00:00 PM,30.457,20666.8,,,,
4,07/11/23 12:05:00 PM,30.356,38578.0,,,,
5,07/11/23 12:10:00 PM,28.953,10677.8,,,,
6,07/11/23 12:15:00 PM,28.555,22044.6,,,,
7,07/11/23 12:20:00 PM,28.754,14466.8,,,,
8,07/11/23 12:25:00 PM,28.953,44089.2,,,,
9,07/11/23 12:30:00 PM,28.555,11022.3,,,,
10,07/11/23 12:35:00 PM,28.555,33066.9,,,,
11,07/11/23 12:40:00 PM,28.853,31689.1,,,,
12,07/11/23 12:45:00 PM,28.655,14466.8,,,,
13,07/11/23 12:50:00 PM,28.655,6544.5,,,,
14,07/11/23 12:55:00 PM,29.053,13089.0,,,,
15,07/11/23 01:00:00 PM,29.152,38578.0,,,,
16,07/11/23 01:05:00 PM,28.853,34444.7,,,,
17,07/11/23 01:10:00 PM,28.555,12400.1,,,,
18,07/11/23 01:15:00 PM,28.754,28933.5,,,,
19,07/11/23 01:20:00 PM,28.853,28933.5,,,,
20,07/11/23 01:25:00 PM,28.853,15844.5,,,,
21,07/11/23 01:30:00 PM,29.152,31689.1,,,,
22,07/11/23 01:35:00 PM,29.652,33066.9,,,,
23,07/11/23 01:40:00 PM,29.552,35822.5,,,,
24,07/11/23 01:45:00 PM,28.655,33066.9,,,,
25,07/11/23 01:50:00 PM,28.357,10677.8,,,,
26,07/11/23 01:55:00 PM,28.456,13089.0,,,,
27,07/11/23 02:00:00 PM,28.655,34444.7,,,,
28,07/11/23 02:05:00 PM,28.853,38578.0,,,,
