"Plot Title: HOBO30"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 1058723, SEN S/N: 1058723)","Intensity, Lux (LGR S/N: 1058723, SEN S/N: 1058723)","Coupler Attached (LGR S/N: 1058723)","Host Connected (LGR S/N: 1058723)","End Of File (LGR S/N: 1058723)"
1,08/06/23 01:00:00 PM,29.053,13089.0,,,
2,08/06/23 01:05:00 PM,29.053,14466.8,,,
3,08/06/23 01:10:00 PM,29.352,22044.6,,,
4,08/06/23 01:15:00 PM,30.255,52355.9,,,
5,08/06/23 01:20:00 PM,30.659,44089.2,,,
6,08/06/23 01:25:00 PM,29.752,18600.1,,,
7,08/06/23 01:30:00 PM,29.552,23422.4,,,
8,08/06/23 01:35:00 PM,29.652,16533.4,,,
9,08/06/23 01:40:00 PM,29.953,34444.7,,,
10,08/06/23 01:45:00 PM,31.064,66133.8,,,
11,08/06/23 01:50:00 PM,30.862,60622.6,,,
12,08/06/23 01:55:00 PM,31.472,57867.0,,,
13,08/06/23 02:00:00 PM,30.356,20666.8,,,
14,08/06/23 02:05:00 PM,30.760,52355.9,,,
15,08/06/23 02:10:00 PM,31.064,44089.2,,,
16,08/06/23 02:15:00 PM,30.659,44089.2,,,
17,08/06/23 02:20:00 PM,30.558,49600.3,,,
18,08/06/23 02:25:00 PM,30.356,33066.9,,,
19,08/06/23 02:30:00 PM,30.054,30311.3,,,
20,08/06/23 02:35:00 PM,29.652,22044.6,,,
21,08/06/23 02:40:00 PM,30.255,60622.6,,,
22,08/06/23 02:45:00 PM,29.352,11022.3,,,
23,08/06/23 02:50:00 PM,29.152,10677.8,,,
24,08/06/23 02:55:00 PM,29.053,12400.1,,,
25,08/06/23 03:00:00 PM,28.853,9300.1,,,
26,08/06/23 03:05:00 PM,28.655,6200.0,,,
27,08/06/23 03:10:00 PM,28.555,4650.0,,,
28,08/06/23 03:15:00 PM,28.456,5511.1,,,
29,08/06/23 03:20:00 PM,28.655,9300.1,,,
30,08/06/23 03:25:00 PM,28.754,11022.3,,,
31,08/06/23 03:30:00 PM,28.754,8266.7,,,
32,08/06/23 03:35:00 PM,28.655,8266.7,,,
33,08/06/23 03:40:00 PM,28.555,5166.7,,,
34,08/06/23 03:45:00 PM,28.456,5338.9,,,
35,08/06/23 03:50:00 PM,28.456,4650.0,,,
36,08/06/23 03:55:00 PM,28.456,5166.7,,,
37,08/06/23 04:00:00 PM,28.456,4650.0,,,
38,08/06/23 04:05:00 PM,28.357,4650.0,,,
39,08/06/23 04:10:00 PM,28.357,4650.0,,,
40,08/06/23 04:15:00 PM,28.456,5511.1,,,
41,08/06/23 04:20:00 PM,28.456,6200.0,,,
42,08/06/23 04:25:00 PM,28.456,6200.0,,,
43,08/06/23 04:30:00 PM,28.357,3272.2,,,
44,08/06/23 04:35:00 PM,28.258,3272.2,,,
45,08/06/23 04:40:00 PM,28.258,3100.0,,,
46,08/06/23 04:45:00 PM,28.258,3788.9,,,
47,08/06/23 04:50:00 PM,28.258,3961.1,,,
48,08/06/23 04:55:00 PM,28.258,4133.4,,,
49,08/06/23 05:00:00 PM,28.357,5166.7,,,
50,08/06/23 05:05:00 PM,28.456,6200.0,,,
51,08/06/23 05:10:00 PM,28.357,4305.6,,,
52,08/06/23 05:15:00 PM,28.258,3961.1,,,
53,08/06/23 05:20:00 PM,28.258,3616.7,,,
54,08/06/23 05:25:00 PM,28.258,3788.9,,,
55,08/06/23 05:30:00 PM,28.258,3616.7,,,
56,08/06/23 05:35:00 PM,28.060,1808.3,,,
57,08/06/23 05:40:00 PM,28.060,2238.9,,,
58,08/06/23 05:45:00 PM,28.060,1162.5,,,
59,08/06/23 05:50:00 PM,28.060,1550.0,,,
60,08/06/23 05:55:00 PM,28.060,2066.7,,,
61,08/06/23 06:00:00 PM,28.060,2152.8,,,
62,08/06/23 06:05:00 PM,28.060,2152.8,,,
63,08/06/23 06:10:00 PM,28.060,2066.7,,,
64,08/06/23 06:15:00 PM,28.060,1980.6,,,
65,08/06/23 06:20:00 PM,28.060,1980.6,,,
66,08/06/23 06:25:00 PM,28.060,1550.0,,,
67,08/06/23 06:30:00 PM,28.060,1808.3,,,
68,08/06/23 06:35:00 PM,28.060,1894.5,,,
69,08/06/23 06:40:00 PM,28.060,1808.3,,,
70,08/06/23 06:45:00 PM,28.060,1550.0,,,
