"Plot Title: HOBO35"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10334949, SEN S/N: 10334949)","Intensity, Lux (LGR S/N: 10334949, SEN S/N: 10334949)","Host Connected (LGR S/N: 10334949)","Coupler Attached (LGR S/N: 10334949)","End Of File (LGR S/N: 10334949)"
1,08/06/23 01:00:00 PM,29.652,2583.4,,,
2,08/06/23 01:05:00 PM,29.652,2927.8,,,
3,08/06/23 01:10:00 PM,29.853,4305.6,,,
4,08/06/23 01:15:00 PM,30.659,9300.1,,,
5,08/06/23 01:20:00 PM,30.760,6544.5,,,
6,08/06/23 01:25:00 PM,30.154,3444.5,,,
7,08/06/23 01:30:00 PM,30.054,4305.6,,,
8,08/06/23 01:35:00 PM,30.054,3444.5,,,
9,08/06/23 01:40:00 PM,30.356,6200.0,,,
10,08/06/23 01:45:00 PM,31.166,10677.8,,,
11,08/06/23 01:50:00 PM,30.963,9644.5,,,
12,08/06/23 01:55:00 PM,31.472,11711.2,,,
13,08/06/23 02:00:00 PM,30.457,4477.8,,,
14,08/06/23 02:05:00 PM,30.760,13777.9,,,
15,08/06/23 02:10:00 PM,30.862,10333.4,,,
16,08/06/23 02:15:00 PM,30.659,11022.3,,,
17,08/06/23 02:20:00 PM,30.760,14466.8,,,
18,08/06/23 02:25:00 PM,30.558,8266.7,,,
19,08/06/23 02:30:00 PM,30.457,8266.7,,,
20,08/06/23 02:35:00 PM,30.154,5511.1,,,
21,08/06/23 02:40:00 PM,30.760,20666.8,,,
22,08/06/23 02:45:00 PM,30.154,3788.9,,,
23,08/06/23 02:50:00 PM,30.054,3961.1,,,
24,08/06/23 02:55:00 PM,29.953,3616.7,,,
25,08/06/23 03:00:00 PM,29.853,2669.5,,,
26,08/06/23 03:05:00 PM,29.652,1550.0,,,
27,08/06/23 03:10:00 PM,29.552,1216.3,,,
28,08/06/23 03:15:00 PM,29.552,1345.5,,,
29,08/06/23 03:20:00 PM,29.652,2411.1,,,
30,08/06/23 03:25:00 PM,29.853,2755.6,,,
31,08/06/23 03:30:00 PM,29.752,1980.6,,,
32,08/06/23 03:35:00 PM,29.752,1980.6,,,
33,08/06/23 03:40:00 PM,29.652,1377.8,,,
34,08/06/23 03:45:00 PM,29.652,1184.0,,,
35,08/06/23 03:50:00 PM,29.652,1141.0,,,
36,08/06/23 03:55:00 PM,29.652,1377.8,,,
37,08/06/23 04:00:00 PM,29.652,1194.8,,,
38,08/06/23 04:05:00 PM,29.652,1001.0,,,
39,08/06/23 04:10:00 PM,29.552,1141.0,,,
40,08/06/23 04:15:00 PM,29.552,1324.0,,,
41,08/06/23 04:20:00 PM,29.652,1463.9,,,
42,08/06/23 04:25:00 PM,29.652,1636.1,,,
43,08/06/23 04:30:00 PM,29.552,721.2,,,
44,08/06/23 04:35:00 PM,29.552,731.9,,,
45,08/06/23 04:40:00 PM,29.552,688.9,,,
46,08/06/23 04:45:00 PM,29.652,764.2,,,
47,08/06/23 04:50:00 PM,29.652,818.1,,,
48,08/06/23 04:55:00 PM,29.652,914.9,,,
49,08/06/23 05:00:00 PM,29.652,1334.7,,,
50,08/06/23 05:05:00 PM,29.752,1463.9,,,
51,08/06/23 05:10:00 PM,29.652,947.2,,,
52,08/06/23 05:15:00 PM,29.652,871.9,,,
53,08/06/23 05:20:00 PM,29.652,818.1,,,
54,08/06/23 05:25:00 PM,29.652,818.1,,,
55,08/06/23 05:30:00 PM,29.652,742.7,,,
56,08/06/23 05:35:00 PM,29.552,387.5,,,
57,08/06/23 05:40:00 PM,29.552,516.7,,,
58,08/06/23 05:45:00 PM,29.452,215.3,,,
59,08/06/23 05:50:00 PM,29.452,344.4,,,
60,08/06/23 05:55:00 PM,29.552,387.5,,,
61,08/06/23 06:00:00 PM,29.552,430.6,,,
62,08/06/23 06:05:00 PM,29.552,430.6,,,
63,08/06/23 06:10:00 PM,29.552,387.5,,,
64,08/06/23 06:15:00 PM,29.552,387.5,,,
65,08/06/23 06:20:00 PM,29.552,366.0,,,
66,08/06/23 06:25:00 PM,29.552,301.4,,,
67,08/06/23 06:30:00 PM,29.552,366.0,,,
68,08/06/23 06:35:00 PM,29.552,398.3,,,
69,08/06/23 06:40:00 PM,29.552,376.7,,,
70,08/06/23 06:45:00 PM,29.552,312.2,,,
71,08/06/23 06:50:00 PM,29.452,269.1,,,
72,08/06/23 06:55:00 PM,29.452,193.8,,,
73,08/06/23 07:00:00 PM,29.452,193.8,,,
74,08/06/23 07:05:00 PM,29.452,150.7,,,
75,08/06/23 07:10:00 PM,29.452,183.0,,,
76,08/06/23 07:15:00 PM,28.853,861.1,,,
77,08/06/23 07:20:00 PM,29.452,215.3,,,
78,08/06/23 07:25:00 PM,30.558,161.5,,,
79,08/06/23 07:30:00 PM,30.457,150.7,,,
80,08/06/23 07:35:00 PM,30.457,150.7,,,
81,08/06/23 07:40:00 PM,30.255,129.2,,,
82,08/06/23 07:45:00 PM,30.356,86.1,,,
83,08/06/23 07:50:00 PM,30.558,53.8,,,
84,08/06/23 07:55:00 PM,30.356,32.3,,,
85,08/06/23 08:00:00 PM,30.255,21.5,,,
86,08/06/23 08:05:00 PM,30.356,0.0,,,
87,08/06/23 08:10:00 PM,30.558,0.0,,,
88,08/06/23 08:15:00 PM,30.457,0.0,,,
89,08/06/23 08:20:00 PM,30.255,0.0,,,
90,08/06/23 08:25:00 PM,30.356,0.0,,,
91,08/06/23 08:30:00 PM,30.558,0.0,,,
92,08/06/23 08:35:00 PM,30.457,0.0,,,
93,08/06/23 08:40:00 PM,30.255,0.0,,,
94,08/06/23 08:45:00 PM,30.457,0.0,,,
95,08/06/23 08:50:00 PM,30.558,0.0,,,
96,08/06/23 08:55:00 PM,30.457,0.0,,,
97,08/06/23 09:00:00 PM,30.255,0.0,,,
98,08/06/23 09:05:00 PM,30.558,0.0,,,
99,08/06/23 09:10:00 PM,30.558,0.0,,,
100,08/06/23 09:15:00 PM,30.457,0.0,,,
101,08/06/23 09:20:00 PM,30.255,0.0,,,
102,08/06/23 09:25:00 PM,30.558,0.0,,,
103,08/06/23 09:30:00 PM,30.558,0.0,,,
104,08/06/23 09:35:00 PM,30.356,0.0,,,
105,08/06/23 09:40:00 PM,30.255,0.0,,,
