"Plot Title: HOBO70_TPC_Repeat_Heated1_Light"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 21309774, SEN S/N: 21309774)","Intensity, Lux (LGR S/N: 21309774, SEN S/N: 21309774)"
1,09/22/23 12:30:00  PM,30.457,5511.1
2,09/22/23 12:35:00  PM,30.154,10333.4
3,09/22/23 12:40:00  PM,30.356,13777.9
4,09/22/23 12:45:00  PM,30.457,11022.3
5,09/22/23 12:50:00  PM,30.558,10333.4
6,09/22/23 12:55:00  PM,30.558,9644.5
7,09/22/23 01:00:00  PM,30.558,8266.7
8,09/22/23 01:05:00  PM,30.558,8266.7
9,09/22/23 01:10:00  PM,30.457,9300.1
10,09/22/23 01:15:00  PM,30.457,6544.5
11,09/22/23 01:20:00  PM,30.255,4305.6
12,09/22/23 01:25:00  PM,30.558,12400.1
13,09/22/23 01:30:00  PM,30.558,11022.3
14,09/22/23 01:35:00  PM,30.457,4650.0
15,09/22/23 01:40:00  PM,30.659,9644.5
16,09/22/23 01:45:00  PM,30.457,5166.7
17,09/22/23 01:50:00  PM,30.558,9300.1
18,09/22/23 01:55:00  PM,30.760,8611.2
19,09/22/23 02:00:00  PM,30.659,3961.1
20,09/22/23 02:05:00  PM,30.862,7577.8
21,09/22/23 02:10:00  PM,30.558,4305.6
22,09/22/23 02:15:00  PM,30.457,3616.7
23,09/22/23 02:20:00  PM,30.760,10333.4
24,09/22/23 02:25:00  PM,30.558,4650.0
25,09/22/23 02:30:00  PM,31.166,16533.4
26,09/22/23 02:35:00  PM,31.268,8611.2
27,09/22/23 02:40:00  PM,30.862,4650.0
28,09/22/23 02:45:00  PM,30.963,8266.7
29,09/22/23 02:50:00  PM,30.356,2669.5
30,09/22/23 02:55:00  PM,30.457,4994.5
31,09/22/23 03:00:00  PM,30.457,16533.4
32,09/22/23 03:05:00  PM,30.659,12400.1
33,09/22/23 03:10:00  PM,30.659,9300.1
34,09/22/23 03:15:00  PM,30.457,30311.3
35,09/22/23 03:20:00  PM,30.558,5166.7
36,09/22/23 03:25:00  PM,30.760,7577.8
37,09/22/23 03:30:00  PM,30.659,7233.4
38,09/22/23 03:35:00  PM,30.457,6200.0
39,09/22/23 03:40:00  PM,30.457,5511.1
40,09/22/23 03:45:00  PM,30.457,5166.7
41,09/22/23 03:50:00  PM,30.255,2325.0
42,09/22/23 03:55:00  PM,30.457,3100.0
43,09/22/23 04:00:00  PM,30.457,2755.6
44,09/22/23 04:05:00  PM,30.457,5511.1
45,09/22/23 04:10:00  PM,30.457,4650.0
46,09/22/23 04:15:00  PM,30.457,6200.0
47,09/22/23 04:20:00  PM,30.457,5166.7
48,09/22/23 04:25:00  PM,30.356,2497.2
49,09/22/23 04:30:00  PM,30.457,3961.1
50,09/22/23 04:35:00  PM,30.457,5166.7
51,09/22/23 04:40:00  PM,30.356,1550.0
52,09/22/23 04:45:00  PM,30.356,5166.7
53,09/22/23 04:50:00  PM,30.154,5166.7
54,09/22/23 04:55:00  PM,29.853,3961.1
55,09/22/23 05:00:00  PM,29.752,4133.4
56,09/22/23 05:05:00  PM,29.853,4305.6
57,09/22/23 05:10:00  PM,29.853,2497.2
58,09/22/23 05:15:00  PM,29.752,4477.8
59,09/22/23 05:20:00  PM,29.752,1377.8
60,09/22/23 05:25:00  PM,29.752,1334.7
61,09/22/23 05:30:00  PM,29.652,1280.9
62,09/22/23 05:35:00  PM,29.752,1550.0
63,09/22/23 05:40:00  PM,29.752,2066.7
64,09/22/23 05:45:00  PM,29.752,1808.3
65,09/22/23 05:50:00  PM,29.752,1808.3
66,09/22/23 05:55:00  PM,29.752,1980.6
67,09/22/23 06:00:00  PM,29.752,1722.2
68,09/22/23 06:05:00  PM,29.652,1550.0
69,09/22/23 06:10:00  PM,29.652,1808.3
70,09/22/23 06:15:00  PM,29.652,1162.5
71,09/22/23 06:20:00  PM,29.652,1377.8
72,09/22/23 06:25:00  PM,29.652,818.1
73,09/22/23 06:30:00  PM,29.652,721.2
74,09/22/23 06:35:00  PM,29.652,527.4
75,09/22/23 06:40:00  PM,29.552,624.3
76,09/22/23 06:45:00  PM,29.552,581.3
77,09/22/23 06:50:00  PM,29.552,731.9
78,09/22/23 06:55:00  PM,29.552,269.1
79,09/22/23 07:00:00  PM,29.552,269.1
80,09/22/23 07:05:00  PM,29.552,139.9
81,09/22/23 07:10:00  PM,29.452,75.3
82,09/22/23 07:15:00  PM,29.452,32.3
83,09/22/23 07:20:00  PM,29.452,10.8
84,09/22/23 07:25:00  PM,29.452,0.0
85,09/22/23 07:30:00  PM,29.452,0.0
86,09/22/23 07:35:00  PM,29.452,0.0
87,09/22/23 07:40:00  PM,29.352,0.0
88,09/22/23 07:45:00  PM,29.352,0.0
89,09/22/23 07:50:00  PM,29.352,0.0
90,09/22/23 07:55:00  PM,29.352,32.3
91,09/22/23 08:00:00  PM,29.452,32.3
92,09/22/23 08:05:00  PM,29.853,21.5
93,09/22/23 08:10:00  PM,29.953,21.5
94,09/22/23 08:15:00  PM,29.953,21.5
95,09/22/23 08:20:00  PM,30.154,10.8
96,09/22/23 08:25:00  PM,30.255,0.0
97,09/22/23 08:30:00  PM,30.255,0.0
98,09/22/23 08:35:00  PM,30.154,0.0
99,09/22/23 08:40:00  PM,30.154,0.0
100,09/22/23 08:45:00  PM,30.154,0.0
101,09/22/23 08:50:00  PM,30.054,0.0
102,09/22/23 08:55:00  PM,30.054,0.0
103,09/22/23 09:00:00  PM,30.054,0.0
104,09/22/23 09:05:00  PM,30.054,0.0
105,09/22/23 09:10:00  PM,29.953,0.0
106,09/22/23 09:15:00  PM,29.953,0.0
107,09/22/23 09:20:00  PM,29.953,0.0
108,09/22/23 09:25:00  PM,29.853,0.0
109,09/22/23 09:30:00  PM,29.853,0.0
110,09/22/23 09:35:00  PM,29.853,0.0
111,09/22/23 09:40:00  PM,29.752,0.0
112,09/22/23 09:45:00  PM,29.752,0.0
113,09/22/23 09:50:00  PM,29.752,0.0
114,09/22/23 09:55:00  PM,29.752,0.0
115,09/22/23 10:00:00  PM,29.652,0.0
116,09/22/23 10:05:00  PM,29.652,0.0
117,09/22/23 10:10:00  PM,29.652,0.0
118,09/22/23 10:15:00  PM,29.652,0.0
119,09/22/23 10:20:00  PM,29.953,0.0
120,09/22/23 10:25:00  PM,30.154,0.0
121,09/22/23 10:30:00  PM,30.154,0.0
122,09/22/23 10:35:00  PM,30.154,0.0
123,09/22/23 10:40:00  PM,30.154,0.0
124,09/22/23 10:45:00  PM,30.054,0.0
125,09/22/23 10:50:00  PM,30.054,0.0
126,09/22/23 10:55:00  PM,30.054,0.0
127,09/22/23 11:00:00  PM,29.953,0.0
128,09/22/23 11:05:00  PM,29.953,0.0
129,09/22/23 11:10:00  PM,29.853,0.0
130,09/22/23 11:15:00  PM,29.853,0.0
131,09/22/23 11:20:00  PM,29.853,0.0
132,09/22/23 11:25:00  PM,29.752,0.0
133,09/22/23 11:30:00  PM,29.752,0.0
134,09/22/23 11:35:00  PM,29.752,0.0
135,09/22/23 11:40:00  PM,30.154,0.0
136,09/22/23 11:45:00  PM,30.255,0.0
137,09/22/23 11:50:00  PM,30.255,0.0
138,09/22/23 11:55:00  PM,30.255,0.0
139,09/23/23 12:00:00  AM,30.154,0.0
140,09/23/23 12:05:00  AM,30.154,0.0
141,09/23/23 12:10:00  AM,30.054,0.0
142,09/23/23 12:15:00  AM,30.054,0.0
143,09/23/23 12:20:00  AM,30.054,0.0
144,09/23/23 12:25:00  AM,29.953,0.0
145,09/23/23 12:30:00  AM,29.953,0.0
146,09/23/23 12:35:00  AM,29.953,0.0
147,09/23/23 12:40:00  AM,29.853,0.0
148,09/23/23 12:45:00  AM,29.853,0.0
149,09/23/23 12:50:00  AM,29.853,0.0
150,09/23/23 12:55:00  AM,29.752,0.0
151,09/23/23 01:00:00  AM,29.752,0.0
152,09/23/23 01:05:00  AM,30.054,0.0
153,09/23/23 01:10:00  AM,30.255,0.0
154,09/23/23 01:15:00  AM,30.255,0.0
155,09/23/23 01:20:00  AM,30.154,0.0
156,09/23/23 01:25:00  AM,30.154,0.0
157,09/23/23 01:30:00  AM,30.154,0.0
158,09/23/23 01:35:00  AM,30.154,0.0
159,09/23/23 01:40:00  AM,30.054,0.0
160,09/23/23 01:45:00  AM,30.054,0.0
161,09/23/23 01:50:00  AM,30.054,0.0
162,09/23/23 01:55:00  AM,29.953,0.0
163,09/23/23 02:00:00  AM,29.953,0.0
164,09/23/23 02:05:00  AM,29.853,0.0
165,09/23/23 02:10:00  AM,29.853,0.0
166,09/23/23 02:15:00  AM,29.853,0.0
167,09/23/23 02:20:00  AM,29.752,0.0
168,09/23/23 02:25:00  AM,29.752,0.0
169,09/23/23 02:30:00  AM,29.752,0.0
170,09/23/23 02:35:00  AM,30.154,0.0
171,09/23/23 02:40:00  AM,30.255,0.0
172,09/23/23 02:45:00  AM,30.255,0.0
173,09/23/23 02:50:00  AM,30.255,0.0
