Date,Time,Tank,Colony,Plug #,F,M,Y,umol photons m-2 s-1,Notes
20220928,5:40,1,MCAV A,821,388,1114,651,0.651,
20220928,5:40,1,MCAV B,809,345,993,652,0.652,
20220929,5:45,2,MCAV C,615,235,638,631,0.631,
20220929,5:45,2,MCAV D,516,103,351,706,0.706,
20220929,5:45,3,MCAV A,375,249,632,606,0.606,
20220929,5:45,3,MCAV B,324,198,564,648,0.648,
20220928,5:55,4,MCAV C,836,419,1119,625,0.625,
20220928,5:55,4,MCAV D,623,194,615,684,0.684,
20220928,6:10,5,MCAV E,1009,302,869,652,0.652,
20220928,6:10,5,MCAV F,951,231,692,666,0.666,
20220929,5:45,6,MCAV E,670,321,828,612,0.612,
20220929,5:45,6,MCAV F,644,410,1083,621,0.621,
20221013,6:26,1,MCAV B ,865,432,1080,600,0.6,
20221013,6:26,1,MCAV A,788,504,1250,596,0.596,
20221012,5:55,2,MCAV D,4,176,510,654,0.654,
20221012,5:55,2,MCAV C,752,200,619,676,0.676,
20221012,6:02,3,MCAV B ,533,233,596,609,0.609,
20221012,6:02,3,MCAV A,631,126,405,688,0.688,sig low
20221013,6:26,4,MCAV D,935,205,568,639,0.639,
20221013,6:26,4,MCAV C,943,334,825,595,0.595,
20221013,6:26,5,MCAV F,966,241,652,630,0.63,
20221013,6:26,5,MCAV E,869,326,861,621,0.621,
20221012,6:09,6,MCAV F,505,68,199,658,0.658,sig low
20221012,6:09,6,MCAV E,658,90,240,625,0.625,sig low
