No.,F,Fm,PAR,Y(II),ETR,TAG,History,Treatment,Time Point,Experiment,Species ,Colony,,,,
1514,609,1227,0,0.504,0,520,,31,T1,HR/BB,,,,,,
1515,519,915,0,0.433,0,627,,31,T1,HR/BB,,,,,,
1516,742,890,0,0.166,0,780,,31,T1,HR/BB,,,,,,
1517,422,873,0,0.517,0,203,,31,T1,HR/BB,,,,,,
1518,921,1196,0,0.23,0,805,,31,T1,HR/BB,,,,,,
1519,713,920,0,0.225,0,471,,31,T1,HR/BB,,,,,,
1520,759,995,0,0.237,0,231,,31,T1,HR/BB,,,,,,
1521,539,830,0,0.351,0,218,,31,T1,HR/BB,,,,,,
1522,599,861,0,0.304,0,509,,31,T1,HR/BB,,,,,,
1523,685,868,0,0.211,0,522,,31,T1,HR/BB,,,,,,
1524,514,616,0,0.166,0,682,,31,T1,HR/BB,,,,,,
1525,634,1216,0,0.479,0,767,,31,T1,HR/BB,,,,,,
1526,581,973,0,0.403,0,192,,31,T1,HR/BB,,,,,,
1527,637,1162,0,0.452,0,926,,31,T1,HR/BB,,,,,,
1528,660,1215,0,0.457,0,702,,31,T1,HR/BB,,,,,,
1529,688,1331,0,0.483,0,706,,31,T1,HR/BB,,,,,,
1530,769,1343,0,0.427,0,800,,31,T1,HR/BB,,,,,,
1531,598,980,0,0.39,0,530,,31,T1,HR/BB,,,,,,
1532,636,915,0,0.305,0,574,,31,T1,HR/BB,,,,,,
1533,776,1147,0,0.323,0,786,,31,T1,HR/BB,,,,,,
1534,248,326,0,0.239,0,226,,31,T1,HR/BB,,,,,,
1535,396,627,0,0.368,0,224,,31,T1,HR/BB,,,,,,
1536,482,740,0,0.349,0,558,,31,T1,HR/BB,,,,,,
1537,399,530,0,0.247,0,208,,31,T1,HR/BB,,,,,,
1538,205,423,0,0.515,0,838,,31,T1,HR/BB,,,,,,
1539,685,783,0,0.125,0,649,,31,T1,HR/BB,,,,,,
1540,584,680,0,0.141,0,648,,31,T1,HR/BB,,,,,,
1541,667,1003,0,0.335,0,908,,31,T1,HR/BB,,,,,,
1542,404,699,0,0.422,0,407,,31,T1,HR/BB,,,,,,
1543,425,659,0,0.355,0,503,,31,T1,HR/BB,,,,,,
1544,430,725,0,0.407,0,223,,31,T1,HR/BB,,,,,,
1545,430,783,0,0.451,0,654,,31,T1,HR/BB,,,,,,
1546,512,766,0,0.332,0,599,,31,T1,HR/BB,,,,,,
1547,432,781,0,0.447,0,782,,31,T1,HR/BB,,,,,,
1548,403,699,0,0.423,0,704,,31,T1,HR/BB,,,,,,
1549,515,867,0,0.406,0,811,,31,T1,HR/BB,,,,,,
1550,600,957,0,0.373,0,477,,31,T1,HR/BB,,,,,,
1551,408,639,0,0.362,0,191,,31,T1,HR/BB,,,,,,
1552,512,816,0,0.373,0,847,,31,T1,HR/BB,,,,,,
1553,745,1137,0,0.345,0,517,,31,T1,HR/BB,,,,,,
1554,731,1074,0,0.319,0,867,,31,T1,HR/BB,,,,,,
1555,544,780,0,0.303,0,766,,31,T1,HR/BB,,,,,,
1556,792,906,0,0.126,0,839,,31,T1,HR/BB,,,,,,
1557,603,842,0,0.284,0,587,,31,T1,HR/BB,,,,,,
1558,225,468,0,0.519,0,538,,31,T1,HR/BB,,,,,,
1559,418,689,0,0.393,0,583,,31,T1,HR/BB,,,,,,
1560,453,771,0,0.412,0,1021,,31,T1,HR/BB,,,,,,
1561,574,798,0,0.281,0,949,,31,T1,HR/BB,,,,,,
1562,454,704,0,0.355,0,833,,31,T1,HR/BB,,,,,,
1563,564,959,0,0.412,0,559,,31,T1,HR/BB,,,,,,
1564,575,1023,0,0.438,0,608,,31,T1,HR/BB,,,,,,
1565,315,616,0,0.489,0,293,,31,T1,HR/BB,,,,,,
1566,462,681,0,0.322,0,550,,31,T1,HR/BB,,,,,,
1567,304,670,0,0.546,0,765,,31,T1,HR/BB,,,,,,
1568,402,553,0,0.273,0,205,,31,T1,HR/BB,,,,,,
1569,573,1073,0,0.466,0,1001,,31,T1,HR/BB,,,,,,
1570,547,706,0,0.225,0,560,,31,T1,HR/BB,,,,,,
1571,366,677,0,0.459,0,773,,31,T1,HR/BB,,,,,,
1572,87,126,0,0.31,0,668,,31,T1,HR/BB,,,,,,
1573,533,991,0,0.462,0,689,,31,T1,HR/BB,,,,,,
1574,399,693,0,0.424,0,311,,31,T1,HR/BB,,,,,,
1575,399,562,0,0.29,0,729,,31,T1,HR/BB,,,,,,
1576,519,795,0,0.347,0,896,,31,T1,HR/BB,,,,,,
1577,740,1229,0,0.398,0,820,,31,T1,HR/BB,,,,,,
1578,508,785,0,0.353,0,491,,31,T1,HR/BB,,,,,,
1579,424,620,0,0.316,0,764,,31,T1,HR/BB,,,,,,
1580,502,683,0,0.265,0,216,,31,T1,HR/BB,,,,,,
1581,477,691,0,0.31,0,719,,31,T1,HR/BB,,,,,,
