Site Name ,ODYLIGHT002
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,15889


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,29/05/2023 , 15:15:00,3056,2522.9
2,29/05/2023 , 15:30:00,4139,3417
3,29/05/2023 , 15:45:00,5601,4623.9
4,29/05/2023 , 16:00:00,4621,3814.9
5,29/05/2023 , 16:15:00,4960,4094.8
6,29/05/2023 , 16:30:00,5387,4447.3
7,29/05/2023 , 16:45:00,3029,2500.6
8,29/05/2023 , 17:00:00,1918,1583.4
9,29/05/2023 , 17:15:00,3308,2730.9
10,29/05/2023 , 17:30:00,3221,2659.1
11,29/05/2023 , 17:45:00,1586,1309.3
12,29/05/2023 , 18:00:00,1572,1297.8
13,29/05/2023 , 18:15:00,863,712.5
14,29/05/2023 , 18:30:00,606,500.3
15,29/05/2023 , 18:45:00,199,164.3
16,29/05/2023 , 19:00:00,146,120.5
17,29/05/2023 , 19:15:00,95,78.4
18,29/05/2023 , 19:30:00,35,28.9
19,29/05/2023 , 19:45:00,27,22.3
20,29/05/2023 , 20:00:00,31,25.6
21,29/05/2023 , 20:15:00,24,19.8
22,29/05/2023 , 20:30:00,10,8.3
23,29/05/2023 , 20:45:00,0,0
24,29/05/2023 , 21:00:00,0,0
25,29/05/2023 , 21:15:00,0,0
26,29/05/2023 , 21:30:00,0,0
27,29/05/2023 , 21:45:00,0,0
28,29/05/2023 , 22:00:00,0,0
29,29/05/2023 , 22:15:00,0,0
30,29/05/2023 , 22:30:00,0,0
31,29/05/2023 , 22:45:00,0,0
32,29/05/2023 , 23:00:00,0,0
33,29/05/2023 , 23:15:00,0,0
34,29/05/2023 , 23:30:00,0,0
35,29/05/2023 , 23:45:00,0,0
36,29/05/2023 , 24:00:00,0,0
37,30/05/2023 , 00:15:00,0,0
38,30/05/2023 , 00:30:00,0,0
39,30/05/2023 , 00:45:00,0,0
40,30/05/2023 , 01:00:00,0,0
41,30/05/2023 , 01:15:00,0,0
42,30/05/2023 , 01:30:00,0,0
43,30/05/2023 , 01:45:00,0,0
44,30/05/2023 , 02:00:00,0,0
45,30/05/2023 , 02:15:00,0,0
46,30/05/2023 , 02:30:00,0,0
47,30/05/2023 , 02:45:00,0,0
48,30/05/2023 , 03:00:00,0,0
49,30/05/2023 , 03:15:00,0,0
50,30/05/2023 , 03:30:00,0,0
51,30/05/2023 , 03:45:00,0,0
52,30/05/2023 , 04:00:00,0,0
53,30/05/2023 , 04:15:00,0,0
54,30/05/2023 , 04:30:00,0,0
55,30/05/2023 , 04:45:00,0,0
56,30/05/2023 , 05:00:00,0,0
57,30/05/2023 , 05:15:00,0,0
58,30/05/2023 , 05:30:00,0,0
59,30/05/2023 , 05:45:00,0,0
60,30/05/2023 , 06:00:00,0,0
61,30/05/2023 , 06:15:00,14,11.6
62,30/05/2023 , 06:30:00,54,44.6
63,30/05/2023 , 06:45:00,86,71
64,30/05/2023 , 07:00:00,279,230.3
65,30/05/2023 , 07:15:00,484,399.6
66,30/05/2023 , 07:30:00,917,757
67,30/05/2023 , 07:45:00,847,699.2
68,30/05/2023 , 08:00:00,919,758.7
69,30/05/2023 , 08:15:00,1192,984.1
70,30/05/2023 , 08:30:00,1285,1060.8
71,30/05/2023 , 08:45:00,1958,1616.4
72,30/05/2023 , 09:00:00,2889,2385
73,30/05/2023 , 09:15:00,2749,2269.5
74,30/05/2023 , 09:30:00,3197,2639.3
75,30/05/2023 , 09:45:00,3638,3003.4
76,30/05/2023 , 10:00:00,3814,3148.7
77,30/05/2023 , 10:15:00,4328,3573
78,30/05/2023 , 10:30:00,3818,3152
79,30/05/2023 , 10:45:00,4217,3481.4
80,30/05/2023 , 11:00:00,3722,3072.7
81,30/05/2023 , 11:15:00,3037,2507.2
82,30/05/2023 , 11:30:00,2652,2189.4
83,30/05/2023 , 11:45:00,3778,3119
84,30/05/2023 , 12:00:00,3469,2863.9
85,30/05/2023 , 12:15:00,3190,2633.5
86,30/05/2023 , 12:30:00,3455,2852.3
87,30/05/2023 , 12:45:00,3847,3175.9
88,30/05/2023 , 13:00:00,2335,1927.7
89,30/05/2023 , 13:15:00,3032,2503.1
90,30/05/2023 , 13:30:00,4118,3399.6
91,30/05/2023 , 13:45:00,2713,2239.7
92,30/05/2023 , 14:00:00,2309,1906.2
93,30/05/2023 , 14:15:00,3014,2488.2
94,30/05/2023 , 14:30:00,2588,2136.5
95,30/05/2023 , 14:45:00,3540,2922.5
96,30/05/2023 , 15:00:00,4028,3325.3
97,30/05/2023 , 15:15:00,3454,2851.5
98,30/05/2023 , 15:30:00,2554,2108.5
99,30/05/2023 , 15:45:00,2150,1774.9
100,30/05/2023 , 16:00:00,1673,1381.2
101,30/05/2023 , 16:15:00,1558,1286.2
102,30/05/2023 , 16:30:00,975,804.9
