Site Name ,PAR SENSOR
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,15686


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,30/05/2023 , 05:10:00,0,0
2,30/05/2023 , 05:20:00,0,0
3,30/05/2023 , 05:30:00,0,0
4,30/05/2023 , 05:40:00,0,0
5,30/05/2023 , 05:50:00,0,0
6,30/05/2023 , 06:00:00,0,0
7,30/05/2023 , 06:10:00,4,4.29
8,30/05/2023 , 06:20:00,16,17.17
9,30/05/2023 , 06:30:00,32,34.35
10,30/05/2023 , 06:40:00,55,59.04
11,30/05/2023 , 06:50:00,151,162.09
12,30/05/2023 , 07:00:00,405,434.74
13,30/05/2023 , 07:10:00,671,720.27
14,30/05/2023 , 07:20:00,795,853.37
15,30/05/2023 , 07:30:00,945,1014.39
16,30/05/2023 , 07:40:00,972,1043.37
17,30/05/2023 , 07:50:00,1074,1152.86
18,30/05/2023 , 08:00:00,1255,1347.15
19,30/05/2023 , 08:10:00,1475,1583.3
20,30/05/2023 , 08:20:00,1762,1891.38
21,30/05/2023 , 08:30:00,1937,2079.23
22,30/05/2023 , 08:40:00,1922,2063.13
23,30/05/2023 , 08:50:00,2894,3106.5
24,30/05/2023 , 09:00:00,3619,3884.73
25,30/05/2023 , 09:10:00,3043,3266.44
26,30/05/2023 , 09:20:00,2342,2513.97
27,30/05/2023 , 09:30:00,2301,2469.95
28,30/05/2023 , 09:40:00,2560,2747.97
29,30/05/2023 , 09:50:00,3463,3717.28
30,30/05/2023 , 10:00:00,4576,4912
31,30/05/2023 , 10:10:00,6653,7141.51
32,30/05/2023 , 10:20:00,5490,5893.11
33,30/05/2023 , 10:30:00,5645,6059.49
34,30/05/2023 , 10:40:00,4736,5083.75
35,30/05/2023 , 10:50:00,3720,3993.15
36,30/05/2023 , 11:00:00,4517,4848.67
37,30/05/2023 , 11:10:00,4612,4950.64
38,30/05/2023 , 11:20:00,3865,4148.79
39,30/05/2023 , 11:30:00,3382,3630.33
40,30/05/2023 , 11:40:00,3015,3236.38
41,30/05/2023 , 11:50:00,3610,3875.07
42,30/05/2023 , 12:00:00,3223,3459.65
43,30/05/2023 , 12:10:00,2835,3043.16
44,30/05/2023 , 12:20:00,3138,3368.41
45,30/05/2023 , 12:30:00,3519,3777.39
46,30/05/2023 , 12:40:00,3039,3262.14
47,30/05/2023 , 12:50:00,2978,3196.66
48,30/05/2023 , 13:00:00,2914,3127.97
49,30/05/2023 , 13:10:00,3848,4130.55
50,30/05/2023 , 13:20:00,3995,4288.34
51,30/05/2023 , 13:30:00,4219,4528.79
52,30/05/2023 , 13:40:00,3096,3323.33
53,30/05/2023 , 13:50:00,2293,2461.37
54,30/05/2023 , 14:00:00,2045,2195.16
55,30/05/2023 , 14:10:00,1841,1976.18
56,30/05/2023 , 14:20:00,1933,2074.93
57,30/05/2023 , 14:30:00,3133,3363.05
58,30/05/2023 , 14:40:00,3315,3558.41
59,30/05/2023 , 14:50:00,3243,3481.12
60,30/05/2023 , 15:00:00,3125,3354.46
61,30/05/2023 , 15:10:00,2855,3064.63
62,30/05/2023 , 15:20:00,2906,3119.38
63,30/05/2023 , 15:30:00,2490,2672.83
64,30/05/2023 , 15:40:00,2097,2250.98
65,30/05/2023 , 15:50:00,1746,1874.2
66,30/05/2023 , 16:00:00,1393,1495.28
67,30/05/2023 , 16:10:00,1028,1103.48
68,30/05/2023 , 16:20:00,1088,1167.89
69,30/05/2023 , 16:30:00,1421,1525.34
70,30/05/2023 , 16:40:00,1204,1292.41
71,30/05/2023 , 16:50:00,862,925.29
72,30/05/2023 , 17:00:00,597,640.84
73,30/05/2023 , 17:10:00,604,648.35
74,30/05/2023 , 17:20:00,545,585.02
75,30/05/2023 , 17:30:00,483,518.47
76,30/05/2023 , 17:40:00,405,434.74
77,30/05/2023 , 17:50:00,350,375.7
78,30/05/2023 , 18:00:00,298,319.88
79,30/05/2023 , 18:10:00,284,304.85
80,30/05/2023 , 18:20:00,311,333.84
81,30/05/2023 , 18:30:00,296,317.73
82,30/05/2023 , 18:40:00,283,303.78
83,30/05/2023 , 18:50:00,263,282.31
84,30/05/2023 , 19:00:00,296,317.73
85,30/05/2023 , 19:10:00,446,478.75
86,30/05/2023 , 19:20:00,282,302.71
87,30/05/2023 , 19:30:00,446,478.75
88,30/05/2023 , 19:40:00,407,436.88
89,30/05/2023 , 19:50:00,205,220.05
90,30/05/2023 , 20:00:00,230,246.89
91,30/05/2023 , 20:10:00,153,164.23
92,30/05/2023 , 20:20:00,75,80.51
93,30/05/2023 , 20:30:00,23,24.69
94,30/05/2023 , 20:40:00,3,3.22
95,30/05/2023 , 20:50:00,0,0
96,30/05/2023 , 21:00:00,0,0
97,30/05/2023 , 21:10:00,0,0
98,30/05/2023 , 21:20:00,0,0
