Site Name ,ODYLIGHT003
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,15888


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,01/08/2023 , 16:15:00,49,38.8
2,01/08/2023 , 16:30:00,23,18.2
3,01/08/2023 , 16:45:00,37,29.3
4,01/08/2023 , 17:00:00,28,22.2
5,01/08/2023 , 17:15:00,12,9.5
6,01/08/2023 , 17:30:00,8,6.3
7,01/08/2023 , 17:45:00,9,7.1
8,01/08/2023 , 18:00:00,10,7.9
9,01/08/2023 , 18:15:00,22,17.4
10,01/08/2023 , 18:30:00,66,52.3
11,01/08/2023 , 18:45:00,56,44.3
12,01/08/2023 , 19:00:00,35,27.7
13,01/08/2023 , 19:15:00,22,17.4
14,01/08/2023 , 19:30:00,23,18.2
15,01/08/2023 , 19:45:00,16,12.7
16,01/08/2023 , 20:00:00,6,4.8
17,01/08/2023 , 20:15:00,1,0.8
18,01/08/2023 , 20:30:00,0,0
19,01/08/2023 , 20:45:00,0,0
20,01/08/2023 , 21:00:00,0,0
21,01/08/2023 , 21:15:00,0,0
22,01/08/2023 , 21:30:00,0,0
23,01/08/2023 , 21:45:00,0,0
24,01/08/2023 , 22:00:00,0,0
25,01/08/2023 , 22:15:00,0,0
26,01/08/2023 , 22:30:00,0,0
27,01/08/2023 , 22:45:00,0,0
28,01/08/2023 , 23:00:00,0,0
29,01/08/2023 , 23:15:00,0,0
30,01/08/2023 , 23:30:00,0,0
31,01/08/2023 , 23:45:00,0,0
32,01/08/2023 , 24:00:00,0,0
33,02/08/2023 , 00:15:00,0,0
34,02/08/2023 , 00:30:00,0,0
35,02/08/2023 , 00:45:00,0,0
36,02/08/2023 , 01:00:00,0,0
37,02/08/2023 , 01:15:00,0,0
38,02/08/2023 , 01:30:00,0,0
39,02/08/2023 , 01:45:00,0,0
40,02/08/2023 , 02:00:00,0,0
41,02/08/2023 , 02:15:00,0,0
42,02/08/2023 , 02:30:00,0,0
43,02/08/2023 , 02:45:00,0,0
44,02/08/2023 , 03:00:00,0,0
45,02/08/2023 , 03:15:00,0,0
46,02/08/2023 , 03:30:00,0,0
47,02/08/2023 , 03:45:00,0,0
48,02/08/2023 , 04:00:00,0,0
49,02/08/2023 , 04:15:00,0,0
50,02/08/2023 , 04:30:00,0,0
51,02/08/2023 , 04:45:00,0,0
52,02/08/2023 , 05:00:00,0,0
53,02/08/2023 , 05:15:00,0,0
54,02/08/2023 , 05:30:00,0,0
55,02/08/2023 , 05:45:00,0,0
56,02/08/2023 , 06:00:00,0,0
57,02/08/2023 , 06:15:00,0,0
58,02/08/2023 , 06:30:00,0,0
59,02/08/2023 , 06:45:00,0,0
60,02/08/2023 , 07:00:00,4,3.2
61,02/08/2023 , 07:15:00,13,10.3
62,02/08/2023 , 07:30:00,8,6.3
63,02/08/2023 , 07:45:00,2,1.6
64,02/08/2023 , 08:00:00,6,4.8
65,02/08/2023 , 08:15:00,7,5.5
66,02/08/2023 , 08:30:00,9,7.1
67,02/08/2023 , 08:45:00,20,15.8
68,02/08/2023 , 09:00:00,43,34
69,02/08/2023 , 09:15:00,54,42.8
70,02/08/2023 , 09:30:00,2797,2214.7
71,02/08/2023 , 09:45:00,756,598.6
72,02/08/2023 , 10:00:00,0,0
73,02/08/2023 , 10:15:00,0,0
74,02/08/2023 , 10:30:00,0,0
75,02/08/2023 , 10:45:00,16,12.7
76,02/08/2023 , 11:00:00,0,0
77,02/08/2023 , 11:15:00,604,478.3
78,02/08/2023 , 11:30:00,266,210.6
79,02/08/2023 , 11:45:00,2312,1830.7
80,02/08/2023 , 12:00:00,6904,5466.8
81,02/08/2023 , 12:15:00,7404,5862.7
82,02/08/2023 , 12:30:00,12121,9597.8
83,02/08/2023 , 12:45:00,7202,5702.8
84,02/08/2023 , 13:00:00,6759,5352
85,02/08/2023 , 13:15:00,5109,4045.5
86,02/08/2023 , 13:30:00,3536,2799.9
87,02/08/2023 , 13:45:00,3879,3071.5
88,02/08/2023 , 14:00:00,7214,5712.3
89,02/08/2023 , 14:15:00,9873,7817.7
90,02/08/2023 , 14:30:00,13098,10371.4
91,02/08/2023 , 14:45:00,3396,2689.1
92,02/08/2023 , 15:00:00,3356,2657.4
93,02/08/2023 , 15:15:00,1767,1399.2
94,02/08/2023 , 15:30:00,1525,1207.5
95,02/08/2023 , 15:45:00,535,423.6
96,02/08/2023 , 16:00:00,1823,1443.5
97,02/08/2023 , 16:15:00,3180,2518
98,02/08/2023 , 16:30:00,3050,2415.1
99,02/08/2023 , 16:45:00,2421,1917
100,02/08/2023 , 17:00:00,1700,1346.1
101,02/08/2023 , 17:15:00,1243,984.2
102,02/08/2023 , 17:30:00,1446,1145
103,02/08/2023 , 17:45:00,1519,1202.8
104,02/08/2023 , 18:00:00,1016,804.5
