Site Name ,ODYLIGHT002
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,15889


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,27/07/2023 , 10:39:10,3386,2795.3
2,27/07/2023 , 10:54:10,4705,3884.2
3,27/07/2023 , 11:09:10,1773,1463.7
4,27/07/2023 , 11:24:10,2017,1665.2
5,27/07/2023 , 11:39:10,4025,3322.9
6,27/07/2023 , 11:54:10,7605,6278.4
7,27/07/2023 , 12:09:10,9668,7981.5
8,27/07/2023 , 12:24:10,10488,8658.5
9,27/07/2023 , 12:39:10,5009,4135.2
10,27/07/2023 , 12:54:10,10885,8986.2
11,27/07/2023 , 13:09:10,8701,7183.2
12,27/07/2023 , 13:24:10,10289,8494.2
13,27/07/2023 , 13:39:10,8114,6698.6
14,27/07/2023 , 13:54:10,10593,8745.1
15,27/07/2023 , 14:09:10,10798,8914.4
16,27/07/2023 , 14:24:10,10654,8795.5
17,27/07/2023 , 14:39:10,10352,8546.2
18,27/07/2023 , 14:54:10,10002,8257.2
19,27/07/2023 , 15:09:10,9799,8089.6
20,27/07/2023 , 15:24:10,9479,7825.5
21,27/07/2023 , 15:39:10,8951,7389.6
22,27/07/2023 , 15:54:10,7366,6081.1
23,27/07/2023 , 16:09:10,7854,6483.9
24,27/07/2023 , 16:24:10,5331,4401
25,27/07/2023 , 16:39:10,7252,5986.9
26,27/07/2023 , 16:54:10,6373,5261.3
27,27/07/2023 , 17:09:10,5828,4811.4
28,27/07/2023 , 17:24:10,5372,4434.9
29,27/07/2023 , 17:39:10,4943,4080.7
30,27/07/2023 , 17:54:10,3739,3086.8
31,27/07/2023 , 18:09:10,4540,3748
32,27/07/2023 , 18:24:10,4258,3515.2
33,27/07/2023 , 18:39:10,1831,1511.6
34,27/07/2023 , 18:54:10,1304,1076.5
35,27/07/2023 , 19:09:10,1334,1101.3
36,27/07/2023 , 19:24:10,1470,1213.6
37,27/07/2023 , 19:39:10,946,781
38,27/07/2023 , 19:54:10,441,364.1
39,27/07/2023 , 20:09:10,212,175
40,27/07/2023 , 20:24:10,76,62.7
41,27/07/2023 , 20:39:10,9,7.4
42,27/07/2023 , 20:54:10,0,0
43,27/07/2023 , 21:09:10,0,0
44,27/07/2023 , 21:24:10,0,0
45,27/07/2023 , 21:39:10,0,0
46,27/07/2023 , 21:54:10,0,0
47,27/07/2023 , 22:09:10,0,0
48,27/07/2023 , 22:24:10,0,0
49,27/07/2023 , 22:39:10,0,0
50,27/07/2023 , 22:54:10,0,0
51,27/07/2023 , 23:09:10,0,0
52,27/07/2023 , 23:24:10,0,0
53,27/07/2023 , 23:39:10,0,0
54,27/07/2023 , 23:54:10,0,0
55,28/07/2023 , 00:09:10,0,0
56,28/07/2023 , 00:24:10,0,0
57,28/07/2023 , 00:39:10,0,0
58,28/07/2023 , 00:54:10,0,0
59,28/07/2023 , 01:09:10,0,0
60,28/07/2023 , 01:24:10,0,0
61,28/07/2023 , 01:39:10,0,0
62,28/07/2023 , 01:54:10,0,0
63,28/07/2023 , 02:09:10,0,0
64,28/07/2023 , 02:24:10,0,0
65,28/07/2023 , 02:39:10,0,0
66,28/07/2023 , 02:54:10,0,0
67,28/07/2023 , 03:09:10,0,0
68,28/07/2023 , 03:24:10,0,0
69,28/07/2023 , 03:39:10,0,0
70,28/07/2023 , 03:54:10,0,0
71,28/07/2023 , 04:09:10,0,0
72,28/07/2023 , 04:24:10,0,0
73,28/07/2023 , 04:39:10,0,0
74,28/07/2023 , 04:54:10,0,0
75,28/07/2023 , 05:09:10,0,0
76,28/07/2023 , 05:24:10,0,0
77,28/07/2023 , 05:39:10,0,0
78,28/07/2023 , 05:54:10,0,0
79,28/07/2023 , 06:09:10,0,0
80,28/07/2023 , 06:24:10,4,3.3
81,28/07/2023 , 06:39:10,57,47.1
82,28/07/2023 , 06:54:10,181,149.4
83,28/07/2023 , 07:09:10,359,296.4
84,28/07/2023 , 07:24:10,534,440.8
85,28/07/2023 , 07:39:10,604,498.6
86,28/07/2023 , 07:54:10,592,488.7
87,28/07/2023 , 08:09:10,1039,857.8
88,28/07/2023 , 08:24:10,2554,2108.5
89,28/07/2023 , 08:39:10,3091,2551.8
90,28/07/2023 , 08:54:10,3137,2589.8
91,28/07/2023 , 09:09:10,3680,3038.1
92,28/07/2023 , 09:24:10,4297,3547.4
93,28/07/2023 , 09:39:10,4100,3384.8
94,28/07/2023 , 09:54:10,5234,4321
95,28/07/2023 , 10:09:10,5802,4789.9
96,28/07/2023 , 10:24:10,6386,5272
97,28/07/2023 , 10:39:10,6930,5721.1
98,28/07/2023 , 10:54:10,7144,5897.8
99,28/07/2023 , 11:09:10,8155,6732.4
100,28/07/2023 , 11:24:10,8561,7067.6
101,28/07/2023 , 11:39:10,8067,6659.8
