Date,Experiment,Run,Run_total,colony_id,Species,Site,Tank,Chamber,Channel,Chamber_vol,Light_start,Light_stop,Light_temp,Dark_start,Dark_stop,Dark_temp,Light_level,Surface_area
20220928,Patch-rim,1,1,PAST-B0646,PAST,BB,1,1,1,582,12:37:00,12:57:00,29.2,13:02:00,13:22:00,29.2,125+3,1919.095
20220928,Thermal,1,1,PAST-A1017,PAST,BB,1,2,2,598,12:37:00,12:57:00,29.2,13:02:00,13:22:00,29.2,125+3,890.416
20220928,Thermal,1,1,MCAV-B0809,MCAV,BB,1,3,3,587,12:37:00,12:57:00,29.2,13:02:00,13:22:00,29.2,125+3,977.399
20220928,Thermal,1,1,MCAV-A0821,MCAV,BB,1,4,4,593,12:37:00,12:57:00,29.2,13:02:00,13:22:00,29.2,125+3,1172.879
20220928,Patch-rim,1,1,PAST-A0964,PAST,HR,1,5,5,593,12:37:00,12:57:00,29.2,13:02:00,13:22:00,29.2,125+3,1310.391
20220928,Thermal,1,1,PAST-B0980,PAST,BB,1,6,6,558,12:37:00,12:57:00,29.2,13:02:00,13:22:00,29.2,125+3,1908.315
20220928,Thermal,1,1,DLAB-C0850,DLAB,BB,1,7,7,553,12:37:00,12:57:00,29.2,13:02:00,13:22:00,29.2,125+3,976.973
20220928,Thermal,1,1,DLAB-A1007,DLAB,BB,1,8,8,586,12:37:00,12:57:00,29.2,13:02:00,13:22:00,29.2,125+3,1262.629
20220928,Thermal,2,2,DLAB-E0897,DLAB,BB,4,1,1,586,14:45:00,15:05:00,NA,15:09:00,15:29:00,29,125+3,983.247
20220928,Patch-rim,2,2,PAST-C0237,PAST,HR,1,2,2,588,14:45:00,15:05:00,NA,15:09:00,15:29:00,29,125+3,1364.259
20220928,Thermal,2,2,BLNK-BL001,BLANK,BB,NA,3,3,620,14:45:00,15:05:00,NA,15:09:00,15:29:00,29,125+3,
20220928,Patch-rim,2,2,PAST-C0212,PAST,BB,1,4,4,578,14:45:00,15:05:00,NA,15:09:00,15:29:00,29,125+3,1781.612
20220928,Thermal,2,2,MCAV-C0836,MCAV,BB,4,5,5,586,14:45:00,15:05:00,NA,15:09:00,15:29:00,29,125+3,1421.388
20220928,Patch-rim,2,2,PAST-D0923,PAST,BB,1,6,6,571,14:45:00,15:05:00,NA,15:09:00,15:29:00,29,125+3,1647.025
20220928,Patch-rim,2,2,PAST-B1034,PAST,HR,1,7,7,574,14:45:00,15:05:00,NA,15:09:00,15:29:00,29,125+3,1131.583
20220928,Patch-rim,2,2,PAST-A0605,PAST,BB,1,8,8,597,14:45:00,15:05:00,NA,15:09:00,15:29:00,29,125+3,1511.66
20220928,Patch-rim,3,3,PAST-G0634,PAST,BB,4,1,1,585,16:26:00,16:46:00,29,16:50:00,17:10:00,29.1,125+3,1182.539
20220928,Thermal,3,3,PAST-D0979,PAST,BB,4,2,2,581,16:26:00,16:46:00,29,16:50:00,17:10:00,29.1,125+3,2072.638
20220928,Thermal,3,3,DLAB-D1026,DLAB,BB,4,3,3,593,16:26:00,16:46:00,29,16:50:00,17:10:00,29.1,125+3,556.815
20220928,Patch-rim,3,3,PAST-F0553,PAST,HR,4,4,4,585,16:26:00,16:46:00,29,16:50:00,17:10:00,29.1,125+3,1557.009
20220928,Patch-rim,3,3,PAST-E0877,PAST,BB,4,5,5,565,16:26:00,16:46:00,29,16:50:00,17:10:00,29.1,125+3,1131.147
20220928,Patch-rim,3,3,PAST-E0965,PAST,HR,4,6,6,574,16:26:00,16:46:00,29,16:50:00,17:10:00,29.1,125+3,1637.807
20220928,Thermal,3,3,MCAV-D0623,MCAV,BB,4,7,7,583,16:26:00,16:46:00,29,16:50:00,17:10:00,29.1,125+3,1199.351
