Date,Experiment,Run,Species,FragmentID,Tank,Chamber,Channel,Chamber_vol,Light Start Time,Light Stop Time,Light Temperature,Dark Start Time,Dark Stop Time,DarkTemperature,Light Level
20220928,Patch-rim,1,PAST B BB,646,1,1,1,582,12:37,12:57,29.2,13:02,13:22,29.2,125+3
20220928,Thermal,1,PAST A,1017,1,2,2,598,12:37,12:57,29.2,13:02,13:22,29.2,125+3
20220928,Thermal,1,MCAV B,809,1,3,3,587,12:37,12:57,29.2,13:02,13:22,29.2,125+3
20220928,Thermal,1,MCAV A,821,1,4,4,593,12:37,12:57,29.2,13:02,13:22,29.2,125+3
20220928,Patch-rim,1,PAST A HR,964,1,5,5,593,12:37,12:57,29.2,13:02,13:22,29.2,125+3
20220928,Thermal,1,PAST B,980,1,6,6,558,12:37,12:57,29.2,13:02,13:22,29.2,125+3
20220928,Thermal,1,DLAB C,850,1,7,7,553,12:37,12:57,29.2,13:02,13:22,29.2,125+3
20220928,Thermal,1,DLAB A,1007,1,8,8,586,12:37,12:57,29.2,13:02,13:22,29.2,125+3
20220928,Thermal,2,DLAB E,897,4,1,1,586,14:45,15:05,NA,15:09,15:29,29,125+3
20220928,Patch-rim,2,PAST C HR,237,1,2,2,588,14:45,15:05,NA,15:09,15:29,29,125+3
20220928,Thermal,2,BLANK,BLANK,NA,3,3,620,14:45,15:05,NA,15:09,15:29,29,125+3
20220928,Patch-rim,2,PAST C BB,212,1,4,4,578,14:45,15:05,NA,15:09,15:29,29,125+3
20220928,Thermal,2,MCAV C,836,4,5,5,586,14:45,15:05,NA,15:09,15:29,29,125+3
20220928,Patch-rim,2,PAST D BB ,923,1,6,6,571,14:45,15:05,NA,15:09,15:29,29,125+3
20220928,Patch-rim,2,PAST B HR,1034,1,7,7,574,14:45,15:05,NA,15:09,15:29,29,125+3
20220928,Patch-rim,2,PAST A BB,605,1,8,8,597,14:45,15:05,NA,15:09,15:29,29,125+3
20220928,Patch-rim,3,PAST G BB,634,4,1,1,585,16:26,16:46,29,16:50,17:10,29.1,125+3
20220928,Thermal,3,PAST D,979,4,2,2,581,16:26,16:46,29,16:50,17:10,29.1,125+3
20220928,Thermal,3,DLAB D,1026,4,3,3,593,16:26,16:46,29,16:50,17:10,29.1,125+3
20220928,Patch-rim,3,PAST F HR,553,4,4,4,585,16:26,16:46,29,16:50,17:10,29.1,125+3
