PreSens Measurement Studio 2,4.0.0.2323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit,Cal0_Amplitude,Cal0_Amplitude_Unit,Cal2nd_Amplitude,Cal2nd_Amplitude_Unit
10/30/2022,16:20:03,2,default,193296008,OXY_CH2,0,min,169.369,μmol/L,Humid,23.041,deg,91604,µV,26.238,°C,1009,hPa,36,pmil,0,55.51,deg,20,°C,100,%a.s.,22.13,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,30.45,0,38.1,258784.58,SABD0002000012,AAV2.0.0.13,4.0.0.2323,PSt7-10,171027-029,9/15/2022 2:27:50 PM,0000-00,0,no battery,V,,µV,,µV
10/30/2022,16:20:04,2,default,193296008,OXY_CH2,0.018,min,169.387,μmol/L,Humid,23.044,deg,91578,µV,26.226,°C,1009,hPa,36,pmil,0,55.51,deg,20,°C,100,%a.s.,22.13,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,30.45,0,38.1,258735.37,SABD0002000012,AAV2.0.0.13,4.0.0.2323,PSt7-10,171027-029,9/15/2022 2:27:50 PM,0000-00,0,no battery,V,,µV,,µV
10/30/2022,16:20:05,2,default,193296008,OXY_CH2,0.034,min,169.414,μmol/L,Humid,23.04,deg,91565,µV,26.232,°C,1009,hPa,36,pmil,0,55.51,deg,20,°C,100,%a.s.,22.13,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,30.45,0,38.1,258693.67,SABD0002000012,AAV2.0.0.13,4.0.0.2323,PSt7-10,171027-029,9/15/2022 2:27:50 PM,0000-00,0,no battery,V,,µV,,µV
10/30/2022,16:20:06,2,default,193296008,OXY_CH2,0.051,min,169.401,μmol/L,Humid,23.043,deg,91543,µV,26.226,°C,1009,hPa,36,pmil,0,55.51,deg,20,°C,100,%a.s.,22.13,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,30.45,0,38.1,258669.38,SABD0002000012,AAV2.0.0.13,4.0.0.2323,PSt7-10,171027-029,9/15/2022 2:27:50 PM,0000-00,0,no battery,V,,µV,,µV
10/30/2022,16:20:07,2,default,193296008,OXY_CH2,0.067,min,169.385,μmol/L,Humid,23.042,deg,91542,µV,26.232,°C,1009,hPa,36,pmil,0,55.51,deg,20,°C,100,%a.s.,22.13,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,30.45,0,38.1,258660,SABD0002000012,AAV2.0.0.13,4.0.0.2323,PSt7-10,171027-029,9/15/2022 2:27:50 PM,0000-00,0,no battery,V,,µV,,µV
10/30/2022,16:20:08,2,default,193296008,OXY_CH2,0.084,min,169.4,μmol/L,Humid,23.041,deg,91533,µV,26.232,°C,1009,hPa,36,pmil,0,55.51,deg,20,°C,100,%a.s.,22.13,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,30.45,0,38.1,258640.73,SABD0002000012,AAV2.0.0.13,4.0.0.2323,PSt7-10,171027-029,9/15/2022 2:27:50 PM,0000-00,0,no battery,V,,µV,,µV
10/30/2022,16:20:09,2,default,193296008,OXY_CH2,0.1,min,169.326,μmol/L,Humid,23.044,deg,91524,µV,26.238,°C,1009,hPa,36,pmil,0,55.51,deg,20,°C,100,%a.s.,22.13,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,30.45,0,38.1,258638.98,SABD0002000012,AAV2.0.0.13,4.0.0.2323,PSt7-10,171027-029,9/15/2022 2:27:50 PM,0000-00,0,no battery,V,,µV,,µV
10/30/2022,16:20:10,2,default,193296008,OXY_CH2,0.117,min,169.356,μmol/L,Humid,23.044,deg,91529,µV,26.232,°C,1009,hPa,36,pmil,0,55.51,deg,20,°C,100,%a.s.,22.13,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,30.45,0,38.1,258638.65,SABD0002000012,AAV2.0.0.13,4.0.0.2323,PSt7-10,171027-029,9/15/2022 2:27:50 PM,0000-00,0,no battery,V,,µV,,µV
10/30/2022,16:20:11,2,default,193296008,OXY_CH2,0.134,min,169.371,μmol/L,Humid,23.043,deg,91522,µV,26.232,°C,1009,hPa,36,pmil,0,55.51,deg,20,°C,100,%a.s.,22.13,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,30.45,0,38.1,258634.09,SABD0002000012,AAV2.0.0.13,4.0.0.2323,PSt7-10,171027-029,9/15/2022 2:27:50 PM,0000-00,0,no battery,V,,µV,,µV
10/30/2022,16:20:12,2,default,193296008,OXY_CH2,0.151,min,169.401,μmol/L,Humid,23.043,deg,91525,µV,26.226,°C,1009,hPa,36,pmil,0,55.51,deg,20,°C,100,%a.s.,22.13,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,30.45,0,38.1,258628.05,SABD0002000012,AAV2.0.0.13,4.0.0.2323,PSt7-10,171027-029,9/15/2022 2:27:50 PM,0000-00,0,no battery,V,,µV,,µV
