"PreSens Measurement Studio 2","4.0.0.2353",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit","Cal0_Amplitude","Cal0_Amplitude_Unit","Cal2nd_Amplitude","Cal2nd_Amplitude_Unit"
"09/19/2023","10:38:05","2","default","292731729","010","0.000","min","259.428","μmol/L","Humid","25.241","deg","33512","µV","29.583","°C","1020.000","hPa","0.0","pmil","0","60.650","deg","20.000","°C","100.000","%a.s.","27.940","deg","20.000","°C","980.000","hPa","0.808","-0.065","0.00038","-0.00034","0","31","Humid","5.00","0","2500.00","36620.14","SADD0002000338 Box 3","ABF1.0.0.0","4.0.0.2353","PSt3","221014-063","8/11/2023 4:56:42 PM","2200-00","0","no battery","V","","µV","","µV"
"09/19/2023","10:38:06","2","default","292731729","010","0.016","min","259.816","μmol/L","Humid","25.228","deg","33525","µV","29.577","°C","1020.000","hPa","0.0","pmil","0","60.650","deg","20.000","°C","100.000","%a.s.","27.940","deg","20.000","°C","980.000","hPa","0.808","-0.065","0.00038","-0.00034","0","31","Humid","5.00","0","2500.00","36622.66","SADD0002000338 Box 3","ABF1.0.0.0","4.0.0.2353","PSt3","221014-063","8/11/2023 4:56:42 PM","2200-00","0","no battery","V","","µV","","µV"
"09/19/2023","10:38:07","2","default","292731729","010","0.033","min","259.787","μmol/L","Humid","25.233","deg","33526","µV","29.564","°C","1020.000","hPa","0.0","pmil","0","60.650","deg","20.000","°C","100.000","%a.s.","27.940","deg","20.000","°C","980.000","hPa","0.808","-0.065","0.00038","-0.00034","0","31","Humid","5.00","0","2500.00","36628.06","SADD0002000338 Box 3","ABF1.0.0.0","4.0.0.2353","PSt3","221014-063","8/11/2023 4:56:42 PM","2200-00","0","no battery","V","","µV","","µV"
"09/19/2023","10:38:08","2","default","292731729","010","0.050","min","259.816","μmol/L","Humid","25.228","deg","33528","µV","29.577","°C","1020.000","hPa","0.0","pmil","0","60.650","deg","20.000","°C","100.000","%a.s.","27.940","deg","20.000","°C","980.000","hPa","0.808","-0.065","0.00038","-0.00034","0","31","Humid","5.00","0","2500.00","36631.36","SADD0002000338 Box 3","ABF1.0.0.0","4.0.0.2353","PSt3","221014-063","8/11/2023 4:56:42 PM","2200-00","0","no battery","V","","µV","","µV"
"09/19/2023","10:38:09","2","default","292731729","010","0.066","min","259.942","μmol/L","Humid","25.227","deg","33529","µV","29.564","°C","1020.000","hPa","0.0","pmil","0","60.650","deg","20.000","°C","100.000","%a.s.","27.940","deg","20.000","°C","980.000","hPa","0.808","-0.065","0.00038","-0.00034","0","31","Humid","5.00","0","2500.00","36631.55","SADD0002000338 Box 3","ABF1.0.0.0","4.0.0.2353","PSt3","221014-063","8/11/2023 4:56:42 PM","2200-00","0","no battery","V","","µV","","µV"
"09/19/2023","10:38:10","2","default","292731729","010","0.083","min","259.658","μmol/L","Humid","25.236","deg","33532","µV","29.571","°C","1020.000","hPa","0.0","pmil","0","60.650","deg","20.000","°C","100.000","%a.s.","27.940","deg","20.000","°C","980.000","hPa","0.808","-0.065","0.00038","-0.00034","0","31","Humid","5.00","0","2500.00","36628.73","SADD0002000338 Box 3","ABF1.0.0.0","4.0.0.2353","PSt3","221014-063","8/11/2023 4:56:42 PM","2200-00","0","no battery","V","","µV","","µV"
"09/19/2023","10:38:11","2","default","292731729","010","0.100","min","259.451","μmol/L","Humid","25.244","deg","33526","µV","29.571","°C","1020.000","hPa","0.0","pmil","0","60.650","deg","20.000","°C","100.000","%a.s.","27.940","deg","20.000","°C","980.000","hPa","0.808","-0.065","0.00038","-0.00034","0","31","Humid","5.00","0","2500.00","36629.12","SADD0002000338 Box 3","ABF1.0.0.0","4.0.0.2353","PSt3","221014-063","8/11/2023 4:56:42 PM","2200-00","0","no battery","V","","µV","","µV"
"09/19/2023","10:38:12","2","default","292731729","010","0.116","min","259.529","μmol/L","Humid","25.241","deg","33526","µV","29.571","°C","1020.000","hPa","0.0","pmil","0","60.650","deg","20.000","°C","100.000","%a.s.","27.940","deg","20.000","°C","980.000","hPa","0.808","-0.065","0.00038","-0.00034","0","31","Humid","5.00","0","2500.00","36628.61","SADD0002000338 Box 3","ABF1.0.0.0","4.0.0.2353","PSt3","221014-063","8/11/2023 4:56:42 PM","2200-00","0","no battery","V","","µV","","µV"
"09/19/2023","10:38:13","2","default","292731729","010","0.133","min","259.530","μmol/L","Humid","25.239","deg","33526","µV","29.577","°C","1020.000","hPa","0.0","pmil","0","60.650","deg","20.000","°C","100.000","%a.s.","27.940","deg","20.000","°C","980.000","hPa","0.808","-0.065","0.00038","-0.00034","0","31","Humid","5.00","0","2500.00","36623.60","SADD0002000338 Box 3","ABF1.0.0.0","4.0.0.2353","PSt3","221014-063","8/11/2023 4:56:42 PM","2200-00","0","no battery","V","","µV","","µV"
"09/19/2023","10:38:14","2","default","292731729","010","0.150","min","259.399","μmol/L","Humid","25.246","deg","33527","µV","29.571","°C","1020.000","hPa","0.0","pmil","0","60.650","deg","20.000","°C","100.000","%a.s.","27.940","deg","20.000","°C","980.000","hPa","0.808","-0.065","0.00038","-0.00034","0","31","Humid","5.00","0","2500.00","36628.73","SADD0002000338 Box 3","ABF1.0.0.0","4.0.0.2353","PSt3","221014-063","8/11/2023 4:56:42 PM","2200-00","0","no battery","V","","µV","","µV"
"09/19/2023","10:38:15","2","default","292731729","010","0.167","min","259.765","μmol/L","Humid","25.228","deg","33534","µV","29.583","°C","1020.000","hPa","0.0","pmil","0","60.650","deg","20.000","°C","100.000","%a.s.","27.940","deg","20.000","°C","980.000","hPa","0.808","-0.065","0.00038","-0.00034","0","31","Humid","5.00","0","2500.00","36622.23","SADD0002000338 Box 3","ABF1.0.0.0","4.0.0.2353","PSt3","221014-063","8/11/2023 4:56:42 PM","2200-00","0","no battery","V","","µV","","µV"
