date,experiment,run,run.total,colony.id,species,site,timepoint,history,treatment,tank,chamber,channel,coral.vol,light.start,light.stop,light.temp,dark.start,dark.stop,dark.temp,light.level,surface.area,Notes,chamber.vol,Notes
20230918,three-spp,1,1,MCAV-A1014,MCAV,BB,Initial,Heated,Heated,5,1,1,13.5,11:24:00,11:44:00,28.8,11:46:00,12:06:00,28.8,NA,15.322,NA,626.5,
20230918,three-spp,1,1,MCAV-F0485,MCAV,BB,Initial,Ambient,Ambient,5,2,2,29,11:24:00,11:44:00,28.8,11:46:00,12:06:00,28.8,NA,25.24,NA,611,
20230918,three-spp,1,1,MCAV-B1031,MCAV,BB,Initial,Heated,Ambient,5,3,3,15,11:24:00,11:44:00,28.8,11:46:00,12:06:00,28.8,NA,3.106,NA,625,
20230918,three-spp,1,1,MCAV-A0487,MCAV,BB,Initial,Ambient,Ambient,5,4,4,19,11:24:00,11:44:00,28.8,11:46:00,12:06:00,28.8,NA,12.231,NA,621,
20230918,three-spp,1,1,MCAV-F0698,MCAV,BB,Initial,Heated,NA,5,6,6,25,11:24:00,11:44:00,28.8,11:46:00,12:06:00,28.8,NA,12.729,NA,615,
20230918,three-spp,1,1,BLNK-BL001,NA,BB,Initial,NA,NA,5,7,7,0,11:24:00,11:44:00,28.8,11:46:00,12:06:00,28.8,NA,NA,NA,640,
20230918,three-spp,1,1,MCAV-E0603,MCAV,BB,Initial,Ambient,Heated,5,8,8,22.5,11:24:00,11:44:00,28.8,11:46:00,12:06:00,28.8,NA,16.228,NA,617.5,
20230918,three-spp,1,1,MCAV-C0818,MCAV,BB,Initial,Heated,Ambient,5,9,9,23,11:24:00,11:44:00,28.8,11:46:00,12:06:00,28.8,NA,14.776,NA,617,
20230918,three-spp,1,1,MCAV-F0946,MCAV,BB,Initial,Heated,Ambient,5,10,10,16,11:24:00,11:44:00,28.8,11:46:00,12:06:00,28.8,NA,16.637,NA,624,
20230918,three-spp,1,1,MCAV-E0851,MCAV,BB,Initial,Heated,Heated,5,11,11,28,11:24:00,11:44:00,28.8,11:46:00,12:06:00,28.8,NA,16.642,NA,612,
20230918,three-spp,1,1,MCAV-F0519,MCAV,BB,Initial,Ambient,Ambient,5,12,12,34.5,11:24:00,11:44:00,28.8,11:46:00,12:06:00,28.8,NA,21.801,NA,605.5,
20230918,three-spp,2,2,MCAV-C0202,MCAV,BB,Initial,Ambient,NA,5,1,1,18,13:24:00,13:44:00,28.7,13:45:00,14:05:00,28.7,NA,16.815,NA,622,
20230918,three-spp,2,2,MCAV-F0344,MCAV,BB,Initial,Ambient,NA,5,2,2,44,13:24:00,13:44:00,28.7,13:45:00,14:05:00,28.7,NA,32.508,NA,596,
20230918,three-spp,2,2,MCAV-F0478,MCAV,BB,Initial,Ambient,Heated,5,3,3,28.5,13:24:00,13:44:00,28.7,13:45:00,14:05:00,28.7,NA,26.963,NA,611.5,
20230918,three-spp,2,2,MCAV-B0564,MCAV,BB,Initial,Ambient,Ambient,5,4,4,15,13:24:00,13:44:00,28.7,13:45:00,14:05:00,28.7,NA,15.193,NA,625,
20230918,three-spp,2,2,MCAV-C1022,MCAV,BB,Initial,Ambient,Heated,5,5,5,29.5,13:24:00,13:44:00,28.7,13:45:00,14:05:00,28.7,NA,15.465,NA,610.5,
20230918,three-spp,2,2,MCAV-D0855,MCAV,BB,Initial,Heated,Ambient,5,6,6,18.5,13:24:00,13:44:00,28.7,13:45:00,14:05:00,28.7,NA,13.59,NA,621.5,
20230918,three-spp,2,2,MCAV-E0726,MCAV,BB,Initial,Heated,NA,5,7,7,26,13:24:00,13:44:00,28.7,13:45:00,14:05:00,28.7,NA,15.722,NA,614,
20230918,three-spp,2,2,BLNK-BL002,NA,NA,Initial,NA,NA,5,8,8,0,13:24:00,13:44:00,28.7,13:45:00,14:05:00,28.7,NA,NA,NA,640,
